,sensor,ekf,pos,att,nav,cmdr,fmu,io
284,102,873,492,200,177,81,10,1890
285,101,873,492,200,177,81,10,1890
286,101,873,492,200,177,81,10,1796
287,101,873,492,200,177,81,10,1796
288,101,873,492,200,2062,81,10,1796
289,101,873,492,200,2062,81,10,1796
290,101,873,492,200,2062,81,10,1731
291,101,873,492,200,2062,81,10,1731
292,101,1380,492,200,2062,81,10,1731
293,101,1380,492,209,2062,81,10,1731
294,101,1380,321,209,2062,81,10,1731
295,110,1380,321,209,2062,81,10,1731
296,110,541,321,209,2062,81,10,1731
297,101,541,321,209,2062,81,10,1731
298,101,541,518,209,2062,81,10,1731
299,101,541,518,212,2062,81,10,1731
300,101,541,518,212,2062,81,10,1768
301,101,541,518,212,2062,83,10,1768
302,101,541,518,212,178,83,10,1768
303,101,541,518,212,178,83,14,1768
304,101,541,518,212,129,83,14,1768
305,101,541,518,212,129,83,14,1783
306,101,541,518,212,129,135,14,1783
307,101,541,518,212,129,135,14,1783
308,101,112,518,212,129,135,14,1783
309,124,112,518,212,129,135,14,1783
310,124,112,482,212,129,135,14,1783
311,124,112,482,196,129,135,14,1783
312,124,112,482,196,129,135,14,1756
313,124,112,482,196,129,83,14,1756
314,124,112,482,196,117,83,14,1756
315,124,112,482,196,117,83,15,1756
316,124,169,482,196,117,83,15,1756
317,153,169,482,196,117,83,15,1756
318,153,169,739,196,117,83,15,1756
319,153,169,739,292,117,83,15,1756
320,153,169,739,292,117,83,15,1756
321,153,169,739,292,530,83,15,1756
322,153,527,739,292,530,83,15,1756
323,101,527,739,292,530,83,15,1756
324,101,527,505,292,530,83,15,1756
325,101,527,505,200,530,83,15,1756
326,101,527,505,200,530,83,15,1834
327,101,527,505,200,530,83,15,1834
328,101,527,505,200,530,81,15,1834
329,101,527,505,200,182,81,15,1834
330,101,527,505,200,182,81,15,1831
331,101,527,505,200,182,81,10,1831
332,101,495,505,200,182,81,10,1831
333,101,495,505,200,182,81,10,1831
334,101,495,655,200,182,81,10,1831
335,101,495,655,296,182,81,10,1831
336,101,495,655,296,131,81,10,1831
337,101,495,655,296,131,81,10,1768
338,101,495,655,296,131,81,10,1768
339,101,140,655,296,131,81,10,1768
340,101,140,655,296,131,81,10,1768
341,101,140,517,296,131,81,10,1768
342,101,140,517,224,131,81,10,1768
343,101,140,517,224,131,82,10,1768
344,101,140,517,224,2717,82,10,1768
345,101,494,517,224,2717,82,10,1768
346,101,494,517,224,2717,82,10,1768
347,101,494,501,224,2717,82,10,1768
348,101,494,501,212,2717,82,10,1768
349,101,494,501,212,2717,83,10,1768
350,101,494,501,212,2717,83,10,1807
351,101,494,501,212,2717,83,14,1807
352,101,494,501,212,199,83,14,1807
